ticker,fiscal_year,fiscal_quarter,quarter_end,calendar_year,calendar_quarter,quarter_index,capex_usd,ytd_capex_usd,source_concept,accession,calendar_label,capex_ttm_usd,capex_yoy_growth
AMZN,2014,4,2014-12-31,2014,4,8060,1145000000,4893000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-17-000011,2014-Q4,4893000000,0.3026166097838452
AMZN,2015,1,2015-03-31,2015,1,8061,871000000,871000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-16-000227,2015-Q1,4684000000,-0.19351851851851853
AMZN,2015,2,2015-06-30,2015,2,8062,1213000000,2084000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-16-000286,2015-Q2,4607000000,-0.059689922480620106
AMZN,2015,3,2015-09-30,2015,3,8063,1196000000,3280000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-16-000324,2015-Q3,4425000000,-0.13207547169811318
AMZN,2015,4,2015-12-31,2015,4,8064,1309000000,4589000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-17-000011,2015-Q4,4589000000,0.14323144104803487
AMZN,2016,1,2016-03-31,2016,1,8065,1179000000,1179000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-17-000051,2016-Q1,4897000000,0.35361653272101035
AMZN,2016,2,2016-06-30,2016,2,8066,1711000000,2890000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-16-000286,2016-Q2,5395000000,0.4105523495465788
AMZN,2016,3,2016-09-30,2016,3,8067,1841000000,4731000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-16-000324,2016-Q3,6040000000,0.5392976588628762
AMZN,2016,4,2016-12-31,2016,4,8068,3073000000,7804000000,PaymentsToAcquireProductiveAssets,0001018724-19-000004,2016-Q4,7804000000,1.3475935828877006
AMZN,2017,1,2017-03-31,2017,1,8069,1861000000,1861000000,PaymentsToAcquirePropertyPlantAndEquipment,0001018724-17-000051,2017-Q1,8486000000,0.5784563189143341
AMZN,2017,3,2017-09-30,2017,3,8071,,8336000000,PaymentsToAcquireProductiveAssets,0001018724-18-000159,2017-Q3,,
AMZN,2017,4,2017-12-31,2017,4,8072,3619000000,11955000000,PaymentsToAcquireProductiveAssets,0001018724-20-000004,2017-Q4,,
AMZN,2018,1,2018-03-31,2018,1,8073,3098000000,3098000000,PaymentsToAcquireProductiveAssets,0001018724-19-000043,2018-Q1,,
AMZN,2018,2,2018-06-30,2018,2,8074,3243000000,6341000000,PaymentsToAcquireProductiveAssets,0001018724-19-000071,2018-Q2,,
AMZN,2018,3,2018-09-30,2018,3,8075,3352000000,9693000000,PaymentsToAcquireProductiveAssets,0001018724-19-000089,2018-Q3,13312000000,
AMZN,2018,4,2018-12-31,2018,4,8076,3734000000,13427000000,PaymentsToAcquireProductiveAssets,0001018724-21-000004,2018-Q4,13427000000,0.031776733904393506
AMZN,2019,1,2019-03-31,2019,1,8077,3290000000,3290000000,PaymentsToAcquireProductiveAssets,0001018724-20-000010,2019-Q1,13619000000,0.06197546804389931
AMZN,2019,2,2019-06-30,2019,2,8078,3562000000,6852000000,PaymentsToAcquireProductiveAssets,0001018724-20-000021,2019-Q2,13938000000,0.09836571076164047
AMZN,2019,3,2019-09-30,2019,3,8079,4697000000,11549000000,PaymentsToAcquireProductiveAssets,0001018724-20-000030,2019-Q3,15283000000,0.4012529832935561
AMZN,2019,4,2019-12-31,2019,4,8080,5312000000,16861000000,PaymentsToAcquireProductiveAssets,0001018724-22-000005,2019-Q4,16861000000,0.4226031065881093
AMZN,2020,1,2020-03-31,2020,1,8081,6795000000,6795000000,PaymentsToAcquireProductiveAssets,0001018724-21-000010,2020-Q1,20366000000,1.0653495440729484
